date,cash,value,AVB_qty,CPT_qty,AVB,CPT
2009-09-01,10000.0,10000.0,0,0,0.0,0.0
2009-09-02,10348.72,10121.01,131,-272,4808.75,-5036.46
2009-09-03,10348.72,10087.82,131,-272,4921.07,-5181.97
2009-09-04,10348.72,10150.04,131,-272,4995.17,-5193.85
2009-09-08,10348.72,10130.52,131,-272,5190.95,-5409.15
2009-09-09,10348.72,10174.06,131,-272,5308.73,-5483.39
2009-09-10,10348.72,10161.42,131,-272,5385.17,-5572.48
2009-09-11,10348.72,10102.21,131,-272,5327.45,-5573.96
2009-09-14,10348.72,10056.1,131,-272,5495.15,-5787.77
2009-09-15,10348.72,10086.8,131,-272,5623.85,-5885.77
2009-09-16,10348.72,10214.58,131,-272,5995.14,-6129.28
2009-09-17,10348.72,10101.99,131,-272,5861.76,-6108.49
2009-09-18,10348.72,10127.22,131,-272,5907.78,-6129.28
2009-09-21,10348.72,10090.79,131,-272,5829.77,-6087.7
2009-09-22,10348.72,9998.5,131,-272,5994.36,-6344.57
2009-09-23,10348.72,9832.14,131,-272,5700.29,-6216.88
2009-09-24,10348.72,9944.81,131,-272,5668.94,-6072.85
2009-09-25,10348.72,9957.76,131,-272,5674.47,-6065.43
2009-09-28,10348.72,10153.56,131,-272,5930.32,-6125.48
2009-09-29,10154.46,10154.46,0,0,0.0,0.0
2009-09-30,10154.46,10154.46,0,0,0.0,0.0
2009-10-01,10154.46,10154.46,0,0,0.0,0.0
2009-10-02,10154.46,10154.46,0,0,0.0,0.0
2009-10-05,10154.46,10154.46,0,0,0.0,0.0
2009-10-06,10154.46,10154.46,0,0,0.0,0.0
2009-10-07,10154.46,10154.46,0,0,0.0,0.0
2009-10-08,10154.46,10154.46,0,0,0.0,0.0
2009-10-09,10154.46,10154.46,0,0,0.0,0.0
2009-10-12,10154.46,10154.46,0,0,0.0,0.0
2009-10-13,10154.46,10154.46,0,0,0.0,0.0
2009-10-14,10154.46,10154.46,0,0,0.0,0.0
2009-10-15,10154.46,10154.46,0,0,0.0,0.0
2009-10-16,10154.46,10154.46,0,0,0.0,0.0
2009-10-19,10154.46,10154.46,0,0,0.0,0.0
2009-10-20,10154.46,10154.46,0,0,0.0,0.0
2009-10-21,10154.46,10154.46,0,0,0.0,0.0
2009-10-22,10154.46,10154.46,0,0,0.0,0.0
2009-10-23,10154.46,10154.46,0,0,0.0,0.0
2009-10-26,10154.46,10154.46,0,0,0.0,0.0
2009-10-27,10154.46,10154.46,0,0,0.0,0.0
2009-10-28,11390.81,10247.15,-128,218,-5384.03,4240.37
2009-10-29,11390.81,10349.85,-128,218,-5414.9,4373.93
2009-10-30,10344.33,10344.33,0,0,0.0,0.0
2009-11-02,10344.33,10344.33,0,0,0.0,0.0
2009-11-03,10344.33,10344.33,0,0,0.0,0.0
2009-11-04,10344.33,10344.33,0,0,0.0,0.0
2009-11-05,10344.33,10344.33,0,0,0.0,0.0
2009-11-06,10344.33,10344.33,0,0,0.0,0.0
2009-11-09,10344.33,10344.33,0,0,0.0,0.0
2009-11-10,10344.33,10344.33,0,0,0.0,0.0
2009-11-11,10344.33,10344.33,0,0,0.0,0.0
2009-11-12,10344.33,10344.33,0,0,0.0,0.0
2009-11-13,10344.33,10344.33,0,0,0.0,0.0
2009-11-16,10344.33,10344.33,0,0,0.0,0.0
2009-11-17,10344.33,10344.33,0,0,0.0,0.0
2009-11-18,10344.33,10344.33,0,0,0.0,0.0
2009-11-19,10344.33,10344.33,0,0,0.0,0.0
2009-11-20,10344.33,10344.33,0,0,0.0,0.0
2009-11-23,10344.33,10344.33,0,0,0.0,0.0
2009-11-24,10344.33,10344.33,0,0,0.0,0.0
2009-11-25,10344.33,10344.33,0,0,0.0,0.0
2009-11-27,10344.33,10344.33,0,0,0.0,0.0
2009-11-30,10344.33,10344.33,0,0,0.0,0.0
2009-12-01,10344.33,10344.33,0,0,0.0,0.0
2009-12-02,10344.33,10344.33,0,0,0.0,0.0
2009-12-03,10344.33,10344.33,0,0,0.0,0.0
2009-12-04,10344.33,10344.33,0,0,0.0,0.0
2009-12-07,10344.33,10344.33,0,0,0.0,0.0
2009-12-08,10344.33,10344.33,0,0,0.0,0.0
2009-12-09,10344.33,10344.33,0,0,0.0,0.0
2009-12-10,11501.57,10216.4,-122,208,-5582.46,4297.29
2009-12-11,11501.57,10198.99,-122,208,-5643.5,4340.92
2009-12-14,11501.57,10284.08,-122,208,-5750.13,4532.65
2009-12-15,11501.57,10275.87,-122,208,-5745.72,4520.02
2009-12-16,11501.57,10232.81,-122,208,-5834.71,4565.94
2009-12-17,11501.57,10275.23,-122,208,-5809.7,4583.36
2009-12-18,11501.57,10257.89,-122,208,-5870.01,4626.32
2009-12-21,11501.57,10228.98,-122,208,-6004.59,4732.0
2009-12-22,11501.57,10202.51,-122,208,-6097.24,4798.19
2009-12-23,11501.57,10135.13,-122,208,-6265.66,4899.21
2009-12-24,11501.57,10124.65,-122,208,-6367.87,4990.95
2009-12-28,11501.57,10277.34,-122,208,-6334.78,5110.56
2009-12-29,11501.57,10283.06,-122,208,-6254.75,5036.24
2009-12-30,11501.57,10298.71,-122,208,-6230.97,5028.11
2009-12-31,11501.57,10320.02,-122,208,-6101.67,4920.11
