date,cash,value,SPY_qty,SPY
2020-01-02,-10.0,9990.0,33.39940915010082,10000.0
2020-01-03,-10.0,9914.28,33.39940915010082,9924.28
2020-01-06,-10.0,9952.14,33.39940915010082,9962.14
2020-01-07,-10.0,9924.13,33.39940915010082,9934.13
2020-01-08,-10.0,9977.07,33.39940915010082,9987.07
2020-01-09,-10.0,10044.79,33.39940915010082,10054.79
2020-01-10,-10.0,10015.85,33.39940915010082,10025.85
2020-01-13,-10.0,10084.81,33.39940915010082,10094.81
2020-01-14,-10.0,10069.42,33.39940915010082,10079.42
2020-01-15,-10.0,10092.19,33.39940915010082,10102.19
2020-01-16,-10.0,10176.23,33.39940915010082,10186.23
2020-01-17,-10.0,10207.93,33.39940915010082,10217.93
2020-01-21,-10.0,10187.92,33.39940915010082,10197.92
2020-01-22,-10.0,10189.15,33.39940915010082,10199.15
2020-01-23,-10.0,10200.85,33.39940915010082,10210.85
2020-01-24,-10.0,10110.05,33.39940915010082,10120.05
2020-01-27,-10.0,9947.83,33.39940915010082,9957.83
2020-01-28,-10.0,10052.18,33.39940915010082,10062.18
2020-01-29,-10.0,10043.87,33.39940915010082,10053.87
2020-01-30,-10.0,10076.5,33.39940915010082,10086.5
2020-01-31,-10.0,9893.35,33.39940915010082,9903.35
2020-02-03,-10.0,10466.91,35.073244238931366,10476.91
2020-02-04,-10.0,10626.59,35.073244238931366,10636.59
2020-02-05,-10.0,10749.43,35.073244238931366,10759.43
2020-02-06,-10.0,10785.63,35.073244238931366,10795.63
2020-02-07,-10.0,10728.09,35.073244238931366,10738.09
2020-02-10,-10.0,10808.25,35.073244238931366,10818.25
2020-02-11,-10.0,10827.0,35.073244238931366,10837.0
2020-02-12,-10.0,10896.82,35.073244238931366,10906.82
2020-02-13,-10.0,10885.19,35.073244238931366,10895.19
2020-02-14,-10.0,10902.64,35.073244238931366,10912.64
2020-02-18,-10.0,10874.52,35.073244238931366,10884.52
2020-02-19,-10.0,10926.56,35.073244238931366,10936.56
2020-02-20,-10.0,10881.63,35.073244238931366,10891.63
2020-02-21,-10.0,10769.47,35.073244238931366,10779.47
2020-02-24,-10.0,10411.96,35.073244238931366,10421.96
2020-02-25,-10.0,10096.15,35.073244238931366,10106.15
2020-02-26,-10.0,10058.98,35.073244238931366,10068.98
2020-02-27,-10.0,9606.77,35.073244238931366,9616.77
2020-02-28,-10.0,9566.37,35.073244238931366,9576.37
2020-03-02,-10.0,9981.08,35.073244238931366,9991.08
2020-03-03,-10.0,9695.01,35.073244238931366,9705.01
2020-03-04,-10.0,10602.94,36.80732179466099,10612.94
2020-03-05,-10.0,10250.15,36.80732179466099,10260.15
2020-03-06,-10.0,10080.54,36.80732179466099,10090.54
2020-03-09,-10.0,9292.52,36.80732179466099,9302.52
2020-03-10,-10.0,9773.88,36.80732179466099,9783.88
2020-03-11,-10.0,9296.93,36.80732179466099,9306.93
2020-03-12,-10.0,8406.47,36.80732179466099,8416.47
2020-03-13,-10.0,9125.96,36.80732179466099,9135.96
2020-03-16,-10.0,8126.27,36.80732179466099,8136.27
2020-03-17,-10.0,8565.57,36.80732179466099,8575.57
2020-03-18,-10.0,8131.36,36.80732179466099,8141.36
2020-03-19,-10.0,8148.66,36.80732179466099,8158.66
2020-03-20,-10.0,7797.07,36.80732179466099,7807.07
2020-03-23,-10.0,7597.46,36.80732179466099,7607.46
2020-03-24,-10.0,8286.72,36.80732179466099,8296.72
2020-03-25,-10.0,8410.92,36.80732179466099,8420.92
2020-03-26,-10.0,8902.62,36.80732179466099,8912.62
2020-03-27,-10.0,8637.15,36.80732179466099,8647.15
2020-03-30,-10.0,8917.97,36.80732179466099,8927.97
2020-03-31,-10.0,8784.9,36.80732179466099,8794.9
2020-04-01,-10.0,8389.08,36.80732179466099,8399.08
2020-04-02,-10.0,9082.89,38.949051797201555,9092.89
2020-04-03,-10.0,8951.47,38.949051797201555,8961.47
2020-04-06,-10.0,9553.37,38.949051797201555,9563.37
2020-04-07,-10.0,9563.12,38.949051797201555,9573.12
2020-04-08,-10.0,9884.48,38.949051797201555,9894.48
2020-04-09,-10.0,10035.04,38.949051797201555,10045.04
2020-04-13,-10.0,9943.33,38.949051797201555,9953.33
2020-04-14,-10.0,10236.88,38.949051797201555,10246.88
2020-04-15,-10.0,10019.16,38.949051797201555,10029.16
2020-04-16,-10.0,10067.54,38.949051797201555,10077.54
2020-04-17,-10.0,10339.79,38.949051797201555,10349.79
2020-04-20,-10.0,10157.45,38.949051797201555,10167.45
2020-04-21,-10.0,9848.73,38.949051797201555,9858.73
2020-04-22,-10.0,10067.54,38.949051797201555,10077.54
2020-04-23,-10.0,10066.82,38.949051797201555,10076.82
2020-04-24,-10.0,10207.28,38.949051797201555,10217.28
2020-04-27,-10.0,10354.59,38.949051797201555,10364.59
2020-04-28,-10.0,10306.93,38.949051797201555,10316.93
2020-04-29,-10.0,10577.01,38.949051797201555,10587.01
2020-04-30,-10.0,10478.44,38.949051797201555,10488.44
2020-05-01,-10.0,10200.78,38.949051797201555,10210.78
2020-05-04,-10.0,10728.94,40.851057633238995,10738.94
2020-05-05,-10.0,10828.16,40.851057633238995,10838.16
2020-05-06,-10.0,10754.69,40.851057633238995,10764.69
2020-05-07,-10.0,10884.59,40.851057633238995,10894.59
2020-05-08,-10.0,11064.85,40.851057633238995,11074.85
2020-05-11,-10.0,11067.12,40.851057633238995,11077.12
2020-05-12,-10.0,10846.34,40.851057633238995,10856.34
2020-05-13,-10.0,10654.34,40.851057633238995,10664.34
2020-05-14,-10.0,10781.96,40.851057633238995,10791.96
2020-05-15,-10.0,10831.57,40.851057633238995,10841.57
2020-05-18,-10.0,11161.8,40.851057633238995,11171.8
2020-05-19,-10.0,11047.05,40.851057633238995,11057.05
2020-05-20,-10.0,11234.89,40.851057633238995,11244.89
2020-05-21,-10.0,11157.26,40.851057633238995,11167.26
2020-05-22,-10.0,11178.46,40.851057633238995,11188.46
2020-05-26,-10.0,11316.31,40.851057633238995,11326.31
2020-05-27,-10.0,11484.84,40.851057633238995,11494.84
2020-05-28,-10.0,11463.63,40.851057633238995,11473.63
2020-05-29,-10.0,11514.75,40.851057633238995,11524.75
2020-06-01,-10.0,11561.33,40.851057633238995,11571.33
2020-06-02,-10.0,11657.15,40.851057633238995,11667.15
2020-06-03,-10.0,12312.42,42.57875268831297,12322.42
2020-06-04,-10.0,12280.05,42.57875268831297,12290.05
2020-06-05,-10.0,12595.04,42.57875268831297,12605.04
2020-06-08,-10.0,12747.4,42.57875268831297,12757.4
2020-06-09,-10.0,12652.27,42.57875268831297,12662.27
2020-06-10,-10.0,12581.61,42.57875268831297,12591.61
2020-06-11,-10.0,11855.72,42.57875268831297,11865.72
2020-06-12,-10.0,11997.82,42.57875268831297,12007.82
2020-06-15,-10.0,12109.93,42.57875268831297,12119.93
2020-06-16,-10.0,12343.2,42.57875268831297,12353.2
2020-06-17,-10.0,12291.89,42.57875268831297,12301.89
2020-06-18,-10.0,12296.63,42.57875268831297,12306.63
2020-06-19,-10.0,12226.29,42.57875268831297,12236.29
2020-06-22,-10.0,12304.79,42.57875268831297,12314.79
2020-06-23,-10.0,12361.49,42.57875268831297,12371.49
2020-06-24,-10.0,12045.91,42.57875268831297,12055.91
2020-06-25,-10.0,12175.15,42.57875268831297,12185.15
2020-06-26,-10.0,11885.74,42.57875268831297,11895.74
2020-06-29,-10.0,12060.57,42.57875268831297,12070.57
2020-06-30,-10.0,12215.19,42.57875268831297,12225.19
2020-07-01,-10.0,12300.83,42.57875268831297,12310.83
2020-07-02,-10.0,12868.62,44.29860272209274,12878.62
2020-07-06,-10.0,13067.44,44.29860272209274,13077.44
2020-07-07,-10.0,12932.56,44.29860272209274,12942.56
2020-07-08,-10.0,13031.55,44.29860272209274,13041.55
2020-07-09,-10.0,12957.31,44.29860272209274,12967.31
2020-07-10,-10.0,13089.71,44.29860272209274,13099.71
2020-07-13,-10.0,12976.28,44.29860272209274,12986.28
2020-07-14,-10.0,13144.57,44.29860272209274,13154.57
2020-07-15,-10.0,13265.42,44.29860272209274,13275.42
2020-07-16,-10.0,13221.7,44.29860272209274,13231.7
2020-07-17,-10.0,13260.06,44.29860272209274,13270.06
2020-07-20,-10.0,13367.3,44.29860272209274,13377.3
2020-07-21,-10.0,13395.76,44.29860272209274,13405.76
2020-07-22,-10.0,13472.07,44.29860272209274,13482.07
2020-07-23,-10.0,13311.2,44.29860272209274,13321.2
2020-07-24,-10.0,13225.41,44.29860272209274,13235.41
2020-07-27,-10.0,13321.93,44.29860272209274,13331.93
2020-07-28,-10.0,13237.37,44.29860272209274,13247.37
2020-07-29,-10.0,13400.3,44.29860272209274,13410.3
2020-07-30,-10.0,13352.45,44.29860272209274,13362.45
2020-07-31,-10.0,13458.05,44.29860272209274,13468.05
2020-08-03,-10.0,14051.68,45.931829801962664,14061.68
2020-08-04,-10.0,14105.99,45.931829801962664,14115.99
