date,cash,value,AVB_qty,CPT_qty,AVB,CPT
2020-01-02,10000.0,10000.0,0,0,0.0,0.0
2020-01-03,10000.0,10000.0,0,0,0.0,0.0
2020-01-06,10000.0,10000.0,0,0,0.0,0.0
2020-01-07,10000.0,10000.0,0,0,0.0,0.0
2020-01-08,10000.0,10000.0,0,0,0.0,0.0
2020-01-09,10000.0,10000.0,0,0,0.0,0.0
2020-01-10,10000.0,10000.0,0,0,0.0,0.0
2020-01-13,10000.0,10000.0,0,0,0.0,0.0
2020-01-14,11025.84,10019.36,-31,49,-5412.34,4405.87
2020-01-15,11025.84,9990.93,-31,49,-5474.09,4439.18
2020-01-16,11025.84,9959.74,-31,49,-5551.33,4485.23
2020-01-17,11025.84,9966.27,-31,49,-5581.81,4522.24
2020-01-21,11025.84,9942.46,-31,49,-5665.25,4581.87
2020-01-22,11025.84,9962.24,-31,49,-5596.54,4532.93
2020-01-23,11025.84,9953.51,-31,49,-5644.33,4572.0
2020-01-24,11025.84,9926.05,-31,49,-5666.03,4566.24
2020-01-27,11025.84,9918.87,-31,49,-5653.89,4546.92
2020-01-28,11025.84,9924.32,-31,49,-5664.48,4562.95
2020-01-29,11025.84,9971.39,-31,49,-5596.02,4541.57
2020-01-30,11025.84,9952.34,-31,49,-5631.93,4558.43
2020-01-31,11025.84,10051.42,-31,49,-5597.83,4623.4
2020-02-03,10056.94,10056.94,0,0,0.0,0.0
2020-02-04,10056.94,10056.94,0,0,0.0,0.0
2020-02-05,10056.94,10056.94,0,0,0.0,0.0
2020-02-06,10056.94,10056.94,0,0,0.0,0.0
2020-02-07,10056.94,10056.94,0,0,0.0,0.0
2020-02-10,10056.94,10056.94,0,0,0.0,0.0
2020-02-11,10056.94,10056.94,0,0,0.0,0.0
2020-02-12,10056.94,10056.94,0,0,0.0,0.0
2020-02-13,10056.94,10056.94,0,0,0.0,0.0
2020-02-14,10056.94,10056.94,0,0,0.0,0.0
2020-02-18,10056.94,10056.94,0,0,0.0,0.0
2020-02-19,10056.94,10056.94,0,0,0.0,0.0
2020-02-20,10056.94,10056.94,0,0,0.0,0.0
2020-02-21,10056.94,10056.94,0,0,0.0,0.0
2020-02-24,10056.94,10056.94,0,0,0.0,0.0
2020-02-25,10056.94,10056.94,0,0,0.0,0.0
2020-02-26,10056.94,10056.94,0,0,0.0,0.0
2020-02-27,10056.94,10056.94,0,0,0.0,0.0
2020-02-28,9246.1,10069.85,31,-49,5181.91,-4358.16
2020-03-02,9246.1,10127.18,31,-49,5416.48,-4535.4
2020-03-03,9246.1,10134.97,31,-49,5392.19,-4503.33
2020-03-04,10124.62,10124.62,0,0,0.0,0.0
2020-03-05,10124.62,10124.62,0,0,0.0,0.0
2020-03-06,9428.55,10064.77,30,-48,5226.5,-4590.28
2020-03-09,9428.55,10234.01,30,-48,4929.25,-4123.8
2020-03-10,10330.59,10330.59,0,0,0.0,0.0
2020-03-11,11470.27,10329.1,-32,51,-5222.67,4081.5
2020-03-12,11470.27,10362.55,-32,51,-4852.8,3745.09
2020-03-13,11470.27,10426.94,-32,51,-5150.94,4107.61
2020-03-16,11470.27,10483.79,-32,51,-4359.2,3372.72
2020-03-17,10443.43,10443.43,0,0,0.0,0.0
2020-03-18,11661.22,10736.16,-37,59,-4744.64,3819.58
2020-03-19,11661.22,10986.8,-37,59,-4519.24,3844.83
2020-03-20,11661.22,11120.47,-37,59,-4058.29,3517.54
2020-03-23,11661.22,11260.27,-37,59,-3733.3,3332.35
2020-03-24,11661.22,11208.63,-37,59,-3930.02,3477.43
2020-03-25,11661.22,10996.98,-37,59,-4340.72,3676.48
2020-03-26,11661.22,11046.92,-37,59,-4657.69,4043.38
2020-03-27,11661.22,10962.49,-37,59,-4941.66,4242.93
2020-03-30,11661.22,11091.41,-37,59,-4736.74,4166.93
2020-03-31,11661.22,11039.94,-37,59,-4583.21,3961.93
2020-04-01,11661.22,11111.4,-37,59,-4298.26,3748.44
2020-04-02,11661.22,11061.86,-37,59,-4214.8,3615.44
2020-04-03,11072.94,11072.94,0,0,0.0,0.0
2020-04-06,11072.94,11072.94,0,0,0.0,0.0
2020-04-07,11072.94,11072.94,0,0,0.0,0.0
2020-04-08,11072.94,11072.94,0,0,0.0,0.0
2020-04-09,11072.94,11072.94,0,0,0.0,0.0
2020-04-13,11072.94,11072.94,0,0,0.0,0.0
2020-04-14,11072.94,11072.94,0,0,0.0,0.0
2020-04-15,11072.94,11072.94,0,0,0.0,0.0
2020-04-16,11072.94,11072.94,0,0,0.0,0.0
2020-04-17,11072.94,11072.94,0,0,0.0,0.0
2020-04-20,11072.94,11072.94,0,0,0.0,0.0
2020-04-21,11072.94,11072.94,0,0,0.0,0.0
2020-04-22,11072.94,11072.94,0,0,0.0,0.0
2020-04-23,11072.94,11072.94,0,0,0.0,0.0
2020-04-24,11072.94,11072.94,0,0,0.0,0.0
2020-04-27,11072.94,11072.94,0,0,0.0,0.0
2020-04-28,11072.94,11072.94,0,0,0.0,0.0
2020-04-29,11072.94,11072.94,0,0,0.0,0.0
2020-04-30,11072.94,11072.94,0,0,0.0,0.0
2020-05-01,11072.94,11072.94,0,0,0.0,0.0
2020-05-04,11072.94,11072.94,0,0,0.0,0.0
2020-05-05,11072.94,11072.94,0,0,0.0,0.0
2020-05-06,11072.94,11072.94,0,0,0.0,0.0
2020-05-07,11072.94,11072.94,0,0,0.0,0.0
2020-05-08,11072.94,11072.94,0,0,0.0,0.0
2020-05-11,11072.94,11072.94,0,0,0.0,0.0
2020-05-12,11072.94,11072.94,0,0,0.0,0.0
2020-05-13,11072.94,11072.94,0,0,0.0,0.0
2020-05-14,11072.94,11072.94,0,0,0.0,0.0
2020-05-15,11072.94,11072.94,0,0,0.0,0.0
2020-05-18,11072.94,11072.94,0,0,0.0,0.0
2020-05-19,12136.13,11083.25,33,-71,4295.49,-5348.38
2020-05-20,12136.13,11083.53,33,-71,4328.27,-5380.87
2020-05-21,12136.13,11076.81,33,-71,4282.44,-5341.76
2020-05-22,12136.13,11074.68,33,-71,4268.27,-5329.72
2020-05-26,12136.13,11047.08,33,-71,4455.48,-5544.53
2020-05-27,12136.13,11047.86,33,-71,4413.54,-5501.81
2020-05-28,12136.13,10984.68,33,-71,4417.15,-5568.59
2020-05-29,12136.13,10959.77,33,-71,4333.27,-5509.63
2020-06-01,12136.13,10977.57,33,-71,4455.76,-5614.32
2020-06-02,12136.13,10967.84,33,-71,4409.93,-5578.22
2020-06-03,12136.13,10809.06,33,-71,4499.64,-5826.72
2020-06-04,12136.13,10795.52,33,-71,4412.7,-5753.31
2020-06-05,12136.13,11058.44,33,-71,4796.56,-5874.25
2020-06-08,12136.13,10971.42,33,-71,4946.0,-6110.71
2020-06-09,12136.13,10970.38,33,-71,4839.06,-6004.81
2020-06-10,12136.13,11070.56,33,-71,4759.34,-5824.91
2020-06-11,12136.13,11037.7,33,-71,4496.03,-5594.46
2020-06-12,12136.13,10949.72,33,-71,4548.25,-5734.66
2020-06-15,12136.13,10956.74,33,-71,4463.81,-5643.2
2020-06-16,12136.13,10955.9,33,-71,4647.69,-5827.92
2020-06-17,12136.13,10959.58,33,-71,4520.2,-5696.75
2020-06-18,12136.13,10913.74,33,-71,4452.7,-5675.09
2020-06-19,12136.13,10817.49,33,-71,4307.71,-5626.35
2020-06-22,12136.13,10902.1,33,-71,4339.38,-5573.41
2020-06-23,12136.13,10994.48,33,-71,4313.82,-5455.47
2020-06-24,12136.13,10989.88,33,-71,4209.94,-5356.2
2020-06-25,12136.13,10998.35,33,-71,4259.94,-5397.71
2020-06-26,12136.13,11004.45,33,-71,4204.67,-5336.34
2020-06-29,12136.13,10971.27,33,-71,4294.77,-5459.64
2020-06-30,12136.13,10936.52,33,-71,4340.81,-5540.42
2020-07-01,12136.13,10903.0,33,-71,4464.6,-5697.73
2020-07-02,12136.13,10942.0,33,-71,4489.02,-5683.15
2020-07-06,12136.13,11027.11,33,-71,4476.95,-5585.97
2020-07-07,12136.13,11030.48,33,-71,4343.05,-5448.7
2020-07-08,11028.59,11028.59,0,0,0.0,0.0
2020-07-09,11028.59,11028.59,0,0,0.0,0.0
2020-07-10,11028.59,11028.59,0,0,0.0,0.0
2020-07-13,11028.59,11028.59,0,0,0.0,0.0
2020-07-14,11028.59,11028.59,0,0,0.0,0.0
2020-07-15,11028.59,11028.59,0,0,0.0,0.0
2020-07-16,11028.59,11028.59,0,0,0.0,0.0
2020-07-17,11028.59,11028.59,0,0,0.0,0.0
2020-07-20,11028.59,11028.59,0,0,0.0,0.0
2020-07-21,11028.59,11028.59,0,0,0.0,0.0
2020-07-22,11028.59,11028.59,0,0,0.0,0.0
2020-07-23,11028.59,11028.59,0,0,0.0,0.0
2020-07-24,11028.59,11028.59,0,0,0.0,0.0
2020-07-27,11028.59,11028.59,0,0,0.0,0.0
2020-07-28,11028.59,11028.59,0,0,0.0,0.0
2020-07-29,11028.59,11028.59,0,0,0.0,0.0
2020-07-30,11028.59,11028.59,0,0,0.0,0.0
2020-07-31,11028.59,11028.59,0,0,0.0,0.0
2020-08-03,11028.59,11028.59,0,0,0.0,0.0
2020-08-04,11028.59,11028.59,0,0,0.0,0.0
2020-08-05,11028.59,11028.59,0,0,0.0,0.0
2020-08-06,11028.59,11028.59,0,0,0.0,0.0
2020-08-07,11028.59,11028.59,0,0,0.0,0.0
2020-08-10,11028.59,11028.59,0,0,0.0,0.0
2020-08-11,11028.59,11028.59,0,0,0.0,0.0
2020-08-12,11028.59,11028.59,0,0,0.0,0.0
2020-08-13,11028.59,11028.59,0,0,0.0,0.0
2020-08-14,11028.59,11028.59,0,0,0.0,0.0
2020-08-17,11028.59,11028.59,0,0,0.0,0.0
2020-08-18,11028.59,11028.59,0,0,0.0,0.0
2020-08-19,11028.59,11028.59,0,0,0.0,0.0
2020-08-20,11028.59,11028.59,0,0,0.0,0.0
2020-08-21,11028.59,11028.59,0,0,0.0,0.0
2020-08-24,11028.59,11028.59,0,0,0.0,0.0
2020-08-25,11028.59,11028.59,0,0,0.0,0.0
2020-08-26,11028.59,11028.59,0,0,0.0,0.0
2020-08-27,11028.59,11028.59,0,0,0.0,0.0
2020-08-28,11028.59,11028.59,0,0,0.0,0.0
2020-08-31,11028.59,11028.59,0,0,0.0,0.0
2020-09-01,11028.59,11028.59,0,0,0.0,0.0
2020-09-02,11028.59,11028.59,0,0,0.0,0.0
2020-09-03,11028.59,11028.59,0,0,0.0,0.0
2020-09-04,11028.59,11028.59,0,0,0.0,0.0
2020-09-08,11028.59,11028.59,0,0,0.0,0.0
2020-09-09,11028.59,11028.59,0,0,0.0,0.0
2020-09-10,11028.59,11028.59,0,0,0.0,0.0
2020-09-11,11028.59,11028.59,0,0,0.0,0.0
2020-09-14,11028.59,11028.59,0,0,0.0,0.0
2020-09-15,11028.59,11028.59,0,0,0.0,0.0
2020-09-16,11028.59,11028.59,0,0,0.0,0.0
2020-09-17,11028.59,11028.59,0,0,0.0,0.0
2020-09-18,11028.59,11028.59,0,0,0.0,0.0
2020-09-21,11028.59,11028.59,0,0,0.0,0.0
2020-09-22,11028.59,11028.59,0,0,0.0,0.0
2020-09-23,11028.59,11028.59,0,0,0.0,0.0
2020-09-24,11028.59,11028.59,0,0,0.0,0.0
2020-09-25,11028.59,11028.59,0,0,0.0,0.0
2020-09-28,11028.59,11028.59,0,0,0.0,0.0
2020-09-29,11028.59,11028.59,0,0,0.0,0.0
2020-09-30,11028.59,11028.59,0,0,0.0,0.0
2020-10-01,11028.59,11028.59,0,0,0.0,0.0
2020-10-02,11028.59,11028.59,0,0,0.0,0.0
2020-10-05,11028.59,11028.59,0,0,0.0,0.0
2020-10-06,11028.59,11028.59,0,0,0.0,0.0
2020-10-07,11028.59,11028.59,0,0,0.0,0.0
2020-10-08,11028.59,11028.59,0,0,0.0,0.0
2020-10-09,11028.59,11028.59,0,0,0.0,0.0
2020-10-12,11028.59,11028.59,0,0,0.0,0.0
2020-10-13,11028.59,11028.59,0,0,0.0,0.0
2020-10-14,11028.59,11028.59,0,0,0.0,0.0
2020-10-15,11028.59,11028.59,0,0,0.0,0.0
2020-10-16,11028.59,11028.59,0,0,0.0,0.0
2020-10-19,11028.59,11028.59,0,0,0.0,0.0
2020-10-20,11028.59,11028.59,0,0,0.0,0.0
2020-10-21,11028.59,11028.59,0,0,0.0,0.0
2020-10-22,11028.59,11028.59,0,0,0.0,0.0
2020-10-23,11028.59,11028.59,0,0,0.0,0.0
2020-10-26,11028.59,11028.59,0,0,0.0,0.0
2020-10-27,11028.59,11028.59,0,0,0.0,0.0
2020-10-28,11028.59,11028.59,0,0,0.0,0.0
2020-10-29,11028.59,11028.59,0,0,0.0,0.0
2020-10-30,11028.59,11028.59,0,0,0.0,0.0
2020-11-02,14015.41,11029.66,29,-81,3623.28,-6609.03
2020-11-03,14015.41,10903.87,29,-81,3768.12,-6879.65
2020-11-04,14015.41,10903.5,29,-81,3697.82,-6809.72
2020-11-05,14015.41,10895.66,29,-81,3695.57,-6815.32
2020-11-06,14015.41,11018.5,29,-81,3688.34,-6685.25
2020-11-09,14015.41,11226.04,29,-81,4105.66,-6895.04
2020-11-10,11318.25,11318.25,0,0,0.0,0.0
2020-11-11,11318.25,11318.25,0,0,0.0,0.0
2020-11-12,11318.25,11318.25,0,0,0.0,0.0
2020-11-13,11318.25,11318.25,0,0,0.0,0.0
2020-11-16,11318.25,11318.25,0,0,0.0,0.0
2020-11-17,11318.25,11318.25,0,0,0.0,0.0
2020-11-18,11318.25,11318.25,0,0,0.0,0.0
2020-11-19,11318.25,11318.25,0,0,0.0,0.0
2020-11-20,11318.25,11318.25,0,0,0.0,0.0
2020-11-23,11318.25,11318.25,0,0,0.0,0.0
2020-11-24,11318.25,11318.25,0,0,0.0,0.0
2020-11-25,11318.25,11318.25,0,0,0.0,0.0
2020-11-27,11318.25,11318.25,0,0,0.0,0.0
2020-11-30,11318.25,11318.25,0,0,0.0,0.0
2020-12-01,11318.25,11318.25,0,0,0.0,0.0
2020-12-02,11318.25,11318.25,0,0,0.0,0.0
2020-12-03,11318.25,11318.25,0,0,0.0,0.0
